ID,Frequencia,Categoria,Tarefa,Passo a passo,Materiais,Tempo (min)
D01,Diaria,Limpeza,Limpar build plate com IPA,"1) Esperar plate esfriar para ~30C. 2) Borrifar IPA 90%+ na superficie. 3) Esfregar com pano microfibra ou papel toalha sem fiapos. 4) Secar bem. 5) NUNCA tocar a superficie limpa com os dedos (oleo da pele afeta adesao).","IPA 90%+, pano microfibra ou papel toalha",2
D02,Diaria,Limpeza,Limpar bico com escova de latao,"1) Apos o ultimo print do dia, manter hotend quente (~200C). Se ja esfriou, pre-aquecer pela tela. 2) Com luva termica, passar escova de LATAO ao redor do bico para tirar plastico e oxidacao. 3) NUNCA usar escova de aco (risca o nozzle). 4) Cuidado para nao rasgar o silicone sock.","Escova de latao, luva termica",1
D03,Diaria,Inspecao,Acompanhar primeira camada,"1) Ficar na maquina durante a 1a camada do 1o print do dia. 2) Olhar adesao, nivelamento e elephant foot. 3) Se sair ruim, parar e re-calibrar antes de seguir o lote inteiro.",Nenhum,5
D04,Diaria,Inspecao,Verificar AMS / spool,"1) Antes de iniciar print, conferir se filamento esta enrolado, com nos ou cruzado no spool holder. 2) Em PLA exposto ha muito tempo, observar se ha sinais de umidade (estalos, vapor durante print, superficie aspera). 3) Se desconfiar, secar o filamento.",Nenhum,1
S01,Semanal,Limpeza,Limpar engrenagem do extrusor,"1) Desligar a impressora. 2) Soltar o filamento (botao unload). 3) Abrir tampa lateral do extrusor (parafuso allen). 4) Com pincel pequeno ou ar comprimido, retirar filamento moido entre os dentes da engrenagem. 5) NUNCA usar objeto metalico nos dentes. 6) Fechar e re-carregar filamento.","Chave allen 2mm, pincel pequeno, ar comprimido em lata",5
S02,Semanal,Limpeza,Limpar lidar (sensor de leveling),"1) Localizar a janelinha de vidro/plastico embaixo do toolhead, ao lado do nozzle. 2) Embeber cotonete em IPA (escorrer excesso). 3) Limpar a janelinha com movimentos suaves. 4) Sujeira aqui causa erro de auto-leveling e first layer ruim.","Cotonete, IPA 90%+",2
S03,Semanal,Limpeza,Limpar fans,"1) Desligar impressora. 2) Com ar comprimido, soprar de fora para dentro nos 3 fans: hotend fan (atras), part cooling (lado), aux. 3) Se acumulou fibra, usar pincel macio antes do ar. 4) Po vira isolante termico e atrapalha refrigeracao.","Ar comprimido, pincel macio",5
S04,Semanal,Inspecao,Conferir aperto de parafusos,"1) Com chave allen, conferir parafusos do bed (parte de baixo), polias do gantry e do toolhead. 2) Apenas CONFERIR se esta firme - nao apertar com forca. 3) Vibracao afrouxa parafusos com o tempo.",Jogo de chaves allen,5
S05,Semanal,Limpeza,Lavar build plate com agua e detergente,"1) Tirar plate da impressora. 2) Lavar com agua morna e detergente neutro (Ype, etc) usando esponja MACIA - NUNCA o lado verde abrasivo. 3) Enxaguar muito bem. 4) Secar com pano sem fiapos. 5) IPA sozinho nao tira oleo da pele - esse passo e necessario semanalmente.","Detergente neutro, esponja macia, pano microfibra",5
M01,Mensal,Lubrificacao,Lubrificar eixo X,"1) Desligar impressora. 2) Com pano sem fiapos, limpar todo o comprimento do eixo X (barra horizontal onde o toolhead corre) - tirar graxa velha + po. 3) Aplicar pequena quantidade de Super Lube (ou graxa Bambu oficial) com cotonete - cobertura fina e uniforme. 4) Mover o toolhead manualmente por todo o range para distribuir. 5) Limpar excesso. NUNCA exagerar - excesso atrai po.","Pano sem fiapos, graxa Super Lube ou Bambu, cotonete",10
M02,Mensal,Lubrificacao,Lubrificar eixos Z,"1) Igual M01 mas nos 2 parafusos verticais Z + guias laterais Z. 2) Mover o eixo Z manualmente (impressora desligada) ou pela tela com baby steps para distribuir.",Idem M01,10
M03,Mensal,Calibracao,Belt tension test,"1) Bambu Studio > Device > Calibration > Belt tension test. 2) Roda automatico e gera relatorio. 3) Anotar valores na planilha. 4) Se fora do range esperado, ajustar tensor manualmente ou abrir ticket no suporte.",Nenhum,15
M04,Mensal,Calibracao,Resonance test (vibration),"1) Tela da impressora > Calibration > Resonance test. 2) Roda automatico (~5 min). 3) Importante apos transportar, mover de lugar ou apos qualquer manutencao fisica que afete o gantry.",Nenhum,5
M05,Mensal,Calibracao,Flow dynamics,"1) Bambu Studio > Calibration > Flow Dynamics. 2) Selecionar filamento atual. 3) Roda teste com sequencia de cubos. 4) Salvar K factor no perfil do filamento. 5) Re-calibrar sempre que mudar de marca/lote de filamento.","~10g do filamento atual, plate limpa",15
M06,Mensal,Inspecao,Inspecao visual do nozzle,"1) Tirar foto macro do bico (modo macro do celular ou lupa). 2) Comparar com nozzle novo (foto de referencia). 3) Sinais de troca: diametro alargado, ovalado, ou deposito carbonizado que nao sai. 4) Se desgastado, agendar troca (T01 ou SEM01).",Celular com macro ou lupa,3
T01,Trimestral,Troca,Trocar nozzle 0.4mm,"1) Pre-aquecer hotend a 230C. 2) Soltar filamento (unload). 3) Com chave de boca apropriada (a que veio com a A1), girar nozzle no SENTIDO ANTI-HORARIO com hotend AINDA QUENTE - se esfriar, filamento solido prende a rosca. 4) Instalar nozzle novo, apertar firme mas sem forcar (~2 Nm). 5) Limpar com escova de latao. 6) Refazer flow dynamics (M05) com o nozzle novo.","Nozzle 0.4mm Bambu original, chave de boca, luva termica",15
T02,Trimestral,Inspecao,Inspecionar cabo do toolhead,"1) Mover toolhead manualmente por todo o range X e Y (impressora desligada). 2) Olhar o cabo flat que vai do gantry ao toolhead em cada posicao. 3) Procurar: dobras agudas permanentes, marcas de stress, fios a mostra, descascamento. 4) Qualquer sinal = agendar troca preventiva (A01). Cabo defeituoso causa erros aleatorios e pode danificar a placa.","Lupa (opcional)",5
T03,Trimestral,Limpeza,Limpeza geral interna,"1) Aspirar po de toda area interna, base e rodape com aspirador de boca pequena. 2) Po acumulado isola termicamente e atrapalha sensores. 3) Limpar a tela com pano levemente umido. 4) Limpar carcaca externa com pano umido.","Aspirador pequeno ou ar comprimido, pano",10
T04,Trimestral,Inspecao,Inspecionar cabo do bed heater,"1) Mover bed manualmente para frente e tras (impressora desligada). 2) Olhar cabo corrugado preto que sai por baixo do bed. 3) Procurar dobras agudas, rasgos no isolamento, ressecamento. 4) Esse cabo movimenta a cada print - fadiga e certa em producao pesada. 5) Se danificado, abrir ticket - troca exige cuidado eletrico.",Nenhum,3
SEM01,Semestral,Troca,Trocar nozzle 0.8mm,Igual T01.,"Nozzle 0.8mm Bambu original, chave de boca, luva termica",15
SEM02,Semestral,Troca,Trocar silicone sock do hotend,"1) Hotend FRIO. 2) Tirar com cuidado a 'meia' de silicone que cobre o bloco aquecedor. 3) Inspecionar - se rasgada, queimada ou ressecada, instalar nova. 4) Sock novo melhora consistencia termica e protege de respingos.",Silicone sock A1 novo,10
SEM03,Semestral,Limpeza,Cold pull,"1) Aquecer hotend a 230C. 2) Empurrar ~10cm de PLA na entrada do extrusor manualmente (mao). 3) Esfriar ate 90C com filamento dentro. 4) Puxar FIRME e RAPIDO - vai sair filamento com formato do bico, trazendo sujeira interna. 5) Repetir 2-3x ate sair limpo. 6) Re-carregar filamento normal.",~30g de PLA dedicado para limpeza,15
SEM04,Semestral,Inspecao,Avaliar build plate,"1) Olhar plate textured PEI sob luz oblicua. 2) Procurar pontos lisos (textura desgastada), areas com adesao ruim recorrente, riscos profundos. 3) Em producao pesada, plate dura 6-12 meses. 4) Se desgastado, comprar novo.",Nenhum,3
A01,Anual,Troca,Trocar cabo do toolhead,"1) Peca de DESGASTE conhecida na A1 - trocar preventivamente em producao. 2) Seguir guia oficial Bambu Wiki. 3) Envolve desconectar do toolhead e da placa principal - cuidado com pinos. 4) Em duvida, agendar com loja autorizada / suporte.",Cabo flat toolhead A1 Bambu original,60
A02,Anual,Troca,Avaliar e trocar fans,"1) Listar fans com sintomas: ruido alto, vibracao, RPM oscilando, ou que pararam de girar em algum momento. 2) Hotend fan e o CRITICO - se falhar, heat creep entope o hotend. 3) Trocar os identificados.",Fans de reposicao A1,30
A03,Anual,Inspecao,Revisao completa de parafusos,"1) Com jogo allen completo, conferir TODOS os parafusos da maquina. 2) Apenas CONFERIR aperto - nao re-apertar a forca. 3) Foco em: bed, gantry, toolhead, polias, pes da maquina.",Jogo allen completo,30
