Maquina,ID Tarefa,Tarefa,Frequencia,Ultima execucao,Proxima execucao,Status,Horas/Kg desde ultima,Observacoes
M0001,D01,Limpar build plate com IPA,Diaria,,,,,
M0001,D02,Limpar bico com escova de latao,Diaria,,,,,
M0001,D03,Acompanhar primeira camada,Diaria,,,,,
M0001,D04,Verificar AMS / spool,Diaria,,,,,
M0001,S01,Limpar engrenagem do extrusor,Semanal,,,,,
M0001,S02,Limpar lidar (sensor de leveling),Semanal,,,,,
M0001,S03,Limpar fans,Semanal,,,,,
M0001,S04,Conferir aperto de parafusos,Semanal,,,,,
M0001,S05,Lavar build plate com agua e detergente,Semanal,,,,,
M0001,M01,Lubrificar eixo X,Mensal,,,,,
M0001,M02,Lubrificar eixos Z,Mensal,,,,,
M0001,M03,Belt tension test,Mensal,,,,,
M0001,M04,Resonance test (vibration),Mensal,,,,,
M0001,M05,Flow dynamics,Mensal,,,,,
M0001,M06,Inspecao visual do nozzle,Mensal,,,,,
M0001,T01,Trocar nozzle 0.4mm,Trimestral,,,,,
M0001,T02,Inspecionar cabo do toolhead,Trimestral,,,,,
M0001,T03,Limpeza geral interna,Trimestral,,,,,
M0001,T04,Inspecionar cabo do bed heater,Trimestral,,,,,
M0001,SEM01,Trocar nozzle 0.8mm,Semestral,,,,,
M0001,SEM02,Trocar silicone sock do hotend,Semestral,,,,,
M0001,SEM03,Cold pull,Semestral,,,,,
M0001,SEM04,Avaliar build plate,Semestral,,,,,
M0001,A01,Trocar cabo do toolhead,Anual,,,,,
M0001,A02,Avaliar e trocar fans,Anual,,,,,
M0001,A03,Revisao completa de parafusos,Anual,,,,,
M0002,D01,Limpar build plate com IPA,Diaria,,,,,
M0002,D02,Limpar bico com escova de latao,Diaria,,,,,
M0002,D03,Acompanhar primeira camada,Diaria,,,,,
M0002,D04,Verificar AMS / spool,Diaria,,,,,
M0002,S01,Limpar engrenagem do extrusor,Semanal,,,,,
M0002,S02,Limpar lidar (sensor de leveling),Semanal,,,,,
M0002,S03,Limpar fans,Semanal,,,,,
